DISCIPLINA,TPI,RECOMENDAÇÃO,CURSO
Análise Multivariada,4-0-4,Álgebra Linear; Introdução à Inferência Estatística,BM - Bacharelado em Matemática (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Análise na Educação Básica,0-2-4,Funções de Uma variável,LM - Licenciatura em Matemática (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Análise no Rn I,4-0-4,Álgebra Linear; Análise Real I; Cálculo Vetorial e Tensorial,BM - Bacharelado em Matemática (OBR)
Análise no Rn II,4-0-4,Análise no Rn I,BM - Bacharelado em Matemática (OL)
Análise Numérica,4-0-4,Funções de Uma Variável; Funções de Várias Variáveis; Álgebra Linear; Cálculo Numérico,BM - Bacharelado em Matemática (OL)
Análise Química Instrumental,2-4-6,Química Analítica Clássica I; Química Analítica Clássica II,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL)
Análise Real I,4-0-4,Sequências e Séries,BM - Bacharelado em Matemática (OBR);LM - Licenciatura em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Análise Real II,4-0-4,Análise Real I,BM - Bacharelado em Matemática (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Análise Social da Família e Implementação de Políticas Públicas,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);LCB - Licenciatura em Ciências Biológicas (OL)
Anéis e Corpos,4-0-4,Teoria Aritmética dos Números,BM - Bacharelado em Matemática (OBR);LM - Licenciatura em Matemática (OL);BCC - Bacharelado em Ciências da Computação (OL)
Antiguidade,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Antropologia Filosófica,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Aplicações de Elementos Finitos para Engenharia,3-1-4,Introdução às Equações Diferenciais Ordinárias; Cálculo Numérico,EAER - Engenharia Aeroespacial (OL)
Aplicações de Microcontroladores,0-4-4,Sistemas Microprocessados; Circuitos Elétricos I,EINF - Engenharia de Informação (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Aplicações em Voz Áudio e Acústica,3-1-4,Codificação de Sinais Multimídia; Processamento Digital de Sinais,EINF - Engenharia de Informação (OL)
Aprendizado de Máquina,4-0-4,Inteligência Artificial,BN - Bacharelado em Neurociência (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Aproveitamento Energético de Resíduos,4-0-4,Engenharia de Biocombustíveis,EENE - Engenharia de Energia (OL)
Argumentação e Ensino,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OL)
Armazenamento de Energia Elétrica,4-0-5,Bases Conceituais da Energia,EENE - Engenharia de Energia (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Arquitetura de Computadores,4-0-4,Circuitos Digitais; Sistemas Digitais,EINF - Engenharia de Informação (OL);BCC - Bacharelado em Ciências da Computação (OBR)
Arquitetura de Computadores de Alto Desempenho,4-0-4,Arquitetura de Computadores,BCC - Bacharelado em Ciências da Computação (OL)
Arranjos Institucionais e Marco Regulatório do Território,2-0-2,Não há,BPP - Bacharelado em Políticas Públicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
Arte e Ensino,4-0-4,Não há,LM - Licenciatura em Matemática (OL);LFIL - Licenciatura em Filosofia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Arte Ciência Tecnologia e Política,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL)
Ásia: Cultura e Processos Sócio-Políticos,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Astrobiologia,4-0-6,Evolução e Diversificação da Vida na Terra; bioquímica: estrutura propriedades e funções de biomoléculas,LFIS - Licenciatura em Física (OL);BCB - Bacharelado em Ciências Biológicas (OL)
Atenção e Estados de Consciência,4-0-4,Não há,LFIS - Licenciatura em Física (OL);BN - Bacharelado em Neurociência (OL);LM - Licenciatura em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Atividades da Teoria,2-2-4,Introdução às Humanidades e às Ciências Sociais; Práticas em Ciências e Humanidades,BC&H - Bacharelado em Ciências e Humanidades (OL)
Atores e Instituições no Regime Militar: 1964-1985,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Automação de Sistemas Elétricos de Potência,3-0-4,Introdução aos Sistemas Elétricos de Potência,EENE - Engenharia de Energia (OL)
Automação de Sistemas Industriais,1-3-4,Sistemas de Controle II,EGES - Engenharia de Gestão (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Automação em Sistemas de Manufatura,2-2-4,Sistemas CAD/CAE; Sistemas CAM,EGES - Engenharia de Gestão (OL)
Avaliação de Desempenho de Redes,3-1-4,Redes de Computadores,BCC - Bacharelado em Ciências da Computação (OL)
Avaliação de Impactos Ambientais,2-2-4,Regulação Ambiental e Urbanística; Cartografia e Geoprocessamento; Saúde Ambiental; Biomas Brasileiros,BQ - Bacharelado em Química (OL);EAU - Engenharia Ambiental e Urbana (OBR);BPT - Bacharelado em Planejamento Territorial (OL);BBT - Bacharelado em Biotecnologia (OL)
Avaliação e Monitoramento de Políticas Públicas,4-0-4,Métodos de Pesquisa em Políticas Públicas; Métodos Quantitativos para Ciências Sociais,BCE - Bacharelado em Ciências Econômicas (OL);BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OL)
Avaliação no Ensino de Química,3-0-4,Práticas de Ensino de Química III,LQ - Licenciatura em Química (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Aviônica,4-0-4,Circuitos Elétricos e Fotônica,EAER - Engenharia Aeroespacial (OL)
Banco de Dados,3-1-4,Algoritmos e Estruturas de Dados I,BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);EINF - Engenharia de Informação (OL)
Banco de Dados de Apoio à Tomada de Decisão,3-1-4,Banco de Dados; Inteligência Artificial,BN - Bacharelado em Neurociência (OL);BCC - Bacharelado em Ciências da Computação (OL)
