DISCIPLINA,TPI,RECOMENDAÇÃO,CURSO
Eficiência Energética Industrial,4-0-4,Não há,EGES - Engenharia de Gestão (OL)
Elaboração Análise e Avaliação de Projetos,2-2-5,Gestão de Operações; Desenvolvimento Integrado do Produto,EGES - Engenharia de Gestão (OBR);BCB - Bacharelado em Ciências Biológicas (OL);BPT - Bacharelado em Planejamento Territorial (OL)
Elementos Finitos,4-0-4,Introdução às Equações Diferenciais Ordinárias,BM - Bacharelado em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Elementos Finitos Aplicados em Materiais,3-1-4,Tópicos Computacionais em Materiais,EMAT - Engenharia de Materiais (OL)
Eletrificação Rural Com Recursos Energéticos Renováveis,4-0-4,Bases Conceituais da Energia,EENE - Engenharia de Energia (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Eletroanalítica e Técnicas de Separação,2-4-8,Química Analítica Clássica I; Química Analítica Clássica II,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL)
Eletromagnetismo Aplicado,4-0-5,Fenômenos Eletromagnéticos,EBIO - Engenharia Biomédica (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Eletromagnetismo I,4-0-4,Fenômenos Eletromagnéticos; Cálculo Vetorial e Tensorial,BFIS - Bacharelado em Física (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Eletromagnetismo II,4-0-4,Eletromagnetismo I; Cálculo Vetorial e Tensorial,BFIS - Bacharelado em Física (OBR)
Eletromagnetismo III,4-0-4,Eletromagnetismo II; Cálculo Vetorial e Tensorial; Análise de Fourier e Aplicações,BFIS - Bacharelado em Física (OL)
Eletrônica Analógica Aplicada,3-2-4,Dispositivos Eletrônicos,EBIO - Engenharia Biomédica (OL);EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Eletrônica de Potência I,3-2-4,Circuitos Elétricos I,EENE - Engenharia de Energia (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Eletrônica de Potência II,3-2-4,Eletrônica de Potência I,EENE - Engenharia de Energia (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Eletrônica Digital,4-2-4,Circuitos Elétricos e Fotônica; Circuitos Elétricos I,EBIO - Engenharia Biomédica (OL);EAER - Engenharia Aeroespacial (OL);EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Eletroquímica e Cinética Química,6-0-6,Transformações Químicas,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL)
Empreendedorismo,2-2-4,Não há,BQ - Bacharelado em Química (OL);EGES - Engenharia de Gestão (OL);BCE - Bacharelado em Ciências Econômicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Empreendedorismo e Desenvolvimento de Negócios,4-0-4,Não há,BN - Bacharelado em Neurociência (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Empreendedorismo e planejamento de projetos em Biotecnologia,4-0-4,Introdução à BIotecnologia,BBT - Bacharelado em Biotecnologia (OBR)
Energia dos Oceanos,4-0-2,Bases Conceituais da Energia,EENE - Engenharia de Energia (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Energia e Abastecimento,4-0-4,Não há,BPT - Bacharelado em Planejamento Territorial (OL)
Energia e Meio Ambiente,2-1-3,Não há,LCB - Licenciatura em Ciências Biológicas (OL)
Energia Geotérmica,2-0-2,Bases Conceituais da Energia,EENE - Engenharia de Energia (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Energia nuclear e Relações Internacionais,4-0-4,Economia política internacional da energia,EENE - Engenharia de Energia (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BRI - Bacharelado em Relações Internacionais (OL)
Energia Meio Ambiente e Sociedade,4-0-5,Bases Conceituais da Energia,BQ - Bacharelado em Química (OL);EENE - Engenharia de Energia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Engenharia de Biocombustíveis,4-0-4,Termodinâmica Aplicada II,EENE - Engenharia de Energia (OBR);BBT - Bacharelado em Biotecnologia (OL)
Engenharia de Cerâmicas,2-2-4,Materiais Cerâmicos; Ciência dos Materiais,EMAT - Engenharia de Materiais (OL)
Engenharia de Combustíveis Fósseis,4-0-4,Bases Conceituais da Energia,EENE - Engenharia de Energia (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Engenharia de Completação,4-0-4,Engenharia de Petróleo e Gás,EENE - Engenharia de Energia (OL)
Engenharia de Filmes Finos,3-1-4,Ciência dos Materiais; Reologia,EMAT - Engenharia de Materiais (OL)
Engenharia de Metais,3-1-4,Materiais Metálicos,EMAT - Engenharia de Materiais (OL)
Engenharia de Perfuração,4-0-4,Engenharia de Petróleo e Gás,EENE - Engenharia de Energia (OL)
Engenharia de Petróleo e Gás,4-0-4,Engenharia de Combustíveis Fósseis,BQ - Bacharelado em Química (OL);EENE - Engenharia de Energia (OBR)
Engenharia de Polímeros,4-0-4,Materiais Poliméricos; Reologia,EMAT - Engenharia de Materiais (OL)
Engenharia de Reabilitação e Biofeedback,3-1-4,Biomecânica II,EBIO - Engenharia Biomédica (OL)
Engenharia de Recursos Hídricos,4-0-4,Máquinas Elétricas; Mecânica dos Fluidos II,EENE - Engenharia de Energia (OBR)
Engenharia de Reservatórios I,0-4-4,Mecânica dos Fluidos II,EENE - Engenharia de Energia (OL)
Engenharia de Reservatórios II,0-4-4,Engenharia de Reservatórios I,EENE - Engenharia de Energia (OL)
Engenharia de Sistemas de Comunicação e Missão Crítica,2-2-4,Programação Estruturada,EINF - Engenharia de Informação (OL)
Engenharia de Software,4-0-4,Processamento da Informação,EINF - Engenharia de Informação (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OBR)
Engenharia de Tecidos,3-2-4,Ciência dos Materiais Biocompatíveis; Biologia Celular,EBIO - Engenharia Biomédica (OL);BCB - Bacharelado em Ciências Biológicas (OL)
Engenharia do Biodiesel,4-0-4,Engenharia de Biocombustíveis; Transferência de Calor II,BQ - Bacharelado em Química (OL);EENE - Engenharia de Energia (OL)
Engenharia do Etanol,4-0-4,Engenharia de Biocombustíveis; Transferência de Calor II,BQ - Bacharelado em Química (OL);EENE - Engenharia de Energia (OL)
Engenharia Econômica,4-0-4,Funções de Uma Variável,EAER - Engenharia Aeroespacial (OBR);EAU - Engenharia Ambiental e Urbana (OBR);EBIO - Engenharia Biomédica (OBR);EENE - Engenharia de Energia (OBR);EGES - Engenharia de Gestão (OBR);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR);EINF - Engenharia de Informação (OBR);EMAT - Engenharia de Materiais (OBR);BCE - Bacharelado em Ciências Econômicas (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Engenharia Econômica Aplicada a Sistemas de Gestão,4-0-5,Custos; Engenharia Econômica,EGES - Engenharia de Gestão (OBR)
Engenharia Eólica,4-0-4,Máquinas Elétricas; Mecânica dos Fluidos II,EENE - Engenharia de Energia (OBR)
Engenharia Humana,4-0-5,Engenharia Laboral,EGES - Engenharia de Gestão (OL)
Engenharia Laboral,4-0-4,Não há,BQ - Bacharelado em Química (OL);EGES - Engenharia de Gestão (OBR)
Engenharia Logística,2-2-4,Planejamento e Controle da Produção,EGES - Engenharia de Gestão (OBR)
Engenharia Metabólica,2-2-4,Biologia Molecular e Biotecnologia; Bioquímica: estrutura propriedades e funções de biomoléculas,BBT - Bacharelado em Biotecnologia (OBR)
Engenharia Nuclear,4-0-4,Física Quântica,EENE - Engenharia de Energia (OBR)
Engenharia Óptica e Imagens,3-1-4,Fenômenos Eletromagnéticos,EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Engenharia Solar Fotovoltaica,4-0-4,Circuitos Elétricos I; Circuitos Elétricos II; Instalações Elétricas I,EENE - Engenharia de Energia (OBR)
Engenharia Solar Térmica,4-0-4,Transferência de Calor I; Transferência de Calor II,EENE - Engenharia de Energia (OBR)
Engenharia Unificada I,0-2-5,Não há,EAER - Engenharia Aeroespacial (OBR);EAU - Engenharia Ambiental e Urbana (OBR);EBIO - Engenharia Biomédica (OBR);EENE - Engenharia de Energia (OL);EGES - Engenharia de Gestão (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR);EINF - Engenharia de Informação (OBR);EMAT - Engenharia de Materiais (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Engenharia Unificada II,0-2-5,Engenharia Unificada I,EAER - Engenharia Aeroespacial (OBR);EAU - Engenharia Ambiental e Urbana (OBR);EBIO - Engenharia Biomédica (OBR);EENE - Engenharia de Energia (OL);EGES - Engenharia de Gestão (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR);EINF - Engenharia de Informação (OBR);EMAT - Engenharia de Materiais (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Ensino Interdisciplinar de História,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Ensino Superior no Brasil: Trajetórias e Modelos Institucionais,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Enzimologia e Biocatálise,4-2-4,Biologia Molecular e Biotecnologia; Biologia Celular; Genética II; Bioquímica: estrutura propriedades e funções de biomoléculas; Farmacologia,BBT - Bacharelado em Biotecnologia (OBR)
Epistemologia Analítica, 4-0-4,Lógica básica,LQ - Licenciatura em Química (OL);BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Epistemologia Feminista,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL)
Epistemologia Naturalizada,4-0-4,Epistemologia analítica,BFIL - Bacharelado em Filosofia (OL)
Epistemologias do Sul: Filosofias Ameríndias,4-0-4 ,Filosofia no Brasil e na América Latina,BFIL - Bacharelado em Filosofia (OL)
Epistemologias Formais,4-0-4,Lógica básica,BFIL - Bacharelado em Filosofia (OL)
Equações Diferenciais Ordinárias,4-0-4,Álgebra Linear Avançada I; Análise no Rn I,BM - Bacharelado em Matemática (OBR)
Equações Diferenciais Parciais,4-0-4,Análise Real I; Cálculo Vetorial e Tensorial,BM - Bacharelado em Matemática (OBR)
Equações Diferenciais Parciais Aplicadas,4-0-4,Cálculo Vetorial e Tensorial; Variáveis Complexas e Aplicações,BFIS - Bacharelado em Física (OL);BM - Bacharelado em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Equipamentos Médico-Hospitalares,2-2-4,Bases Biológicas para Engenharia II,EBIO - Engenharia Biomédica (OBR)
Ergonomia,4-0-4,Bases Biológicas para Engenharia II,EBIO - Engenharia Biomédica (OL)
Ergonomia Cognitiva,4-0-4,Psicologia Cognitiva,EBIO - Engenharia Biomédica (OL);BN - Bacharelado em Neurociência (OL);LCB - Licenciatura em Ciências Biológicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Escoamento Multifásico,4-0-4,Mecânica dos Fluidos II; Transferência de Calor II,EENE - Engenharia de Energia (OL)
Escrita e Leitura na Educação em Ciências,1-1-2,Não há,LCB - Licenciatura em Ciências Biológicas (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Espectroscopia,4-2-6,Estrutura da Matéria; Interações Atômicas e Moleculares; Ligações Químicas,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL)
Estabilidade e Controle de Aeronaves,4-0-4,Fenômenos Mecânicos; Funções de Uma Variável; Aeronáutica I-A; Desempenho de Aeronaves,EAER - Engenharia Aeroespacial (OBR)
Estado e Desenvolvimento Econômico no Brasil Contemporâneo,4-0-4,Introdução à Economia,BPP - Bacharelado em Políticas Públicas (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Estado e Relações de Poder,4-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OBR);LCH - Licenciatura em Ciências e Humanidades (OL)
Estado Sólido,4-0-4,Física Quântica; Materiais e suas Propriedades,BFIS - Bacharelado em Física (OL);EMAT - Engenharia de Materiais (OBR)
Estatística Aplicada a Sistemas de Gestão,2-2-4,Introdução à Probabilidade e à Estatística,EGES - Engenharia de Gestão (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Estética,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Estética: Perspectivas Contemporâneas,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Estratégias de Comunicação Organizacional,4-0-5,Modelos de Comunicação nas Organizações,EGES - Engenharia de Gestão (OL)
Estrutura Atômica e Molecular,4-0-4,Interações Atômicas e Moleculares; Cálculo Vetorial e Tensorial; Mecânica Quântica I,BFIS - Bacharelado em Física (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Estrutura da Matéria,3-0-4,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Estrutura da Matéria Avançada,2-4-8,Funções de Uma Variável; Estrutura da Matéria; Física Quântica; Interações Atômicas e Moleculares; Funções de Várias Variáveis; Transformações Químicas,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Estrutura e Dinâmica Social,3-0-4,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR)
Estruturalismo e Pós-Estruturalismo,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OL)
Estudos de Gênero,3-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OBR);BC&H - Bacharelado em Ciências e Humanidades (OBR)
Estudos do Meio Físico,4-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR)
Estudos Étnico-Raciais,3-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR);LM - Licenciatura em Matemática (OBR)
Estudos Queer e Educação,3-0-4,Não há,LQ - Licenciatura em Química (OL)
Ética ,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Ética Contemporânea,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Ética e Conhecimento,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OL)
Ética e Justiça,4-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);LCH - Licenciatura em Ciências e Humanidades (OBR)
Etnofarmacologia,2-1-2,bioquímica: estrutura propriedades e funções de biomoléculas,BCB - Bacharelado em Ciências Biológicas (OL);BBT - Bacharelado em Biotecnologia (OL)
Europa Medieval: Cultura Política e Sociedade,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Europa Moderna e Contemporânea: Cultura e Processos Políticos,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Evolução,4-0-4,Evolução e Diversificação da Vida na Terra; Sistemática e Biogeografia; Genética I; Genética II; Introdução à Probabilidade e à Estatística,BCB - Bacharelado em Ciências Biológicas (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCB - Licenciatura em Ciências Biológicas (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Evolução da Física,4-0-4,Fenômenos Mecânicos; Fenômenos Térmicos; Fenômenos Eletromagnéticos; Física Quântica,BFIS - Bacharelado em Física (OL);LFIS - Licenciatura em Física (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Evolução dos Conceitos Matemáticos,4-0-4,Bases Matemáticas; Funções de Uma Variável; Bases Epistemológicas da Ciência Moderna,BM - Bacharelado em Matemática (OL);LM - Licenciatura em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Evolução e Diversidade de Plantas I,2-2-2,Evolução e Diversificação da Vida na Terra; Sistemática e Biogeografia,BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Evolução e Diversidade de Plantas II,2-4-4,Evolução e Diversificação da Vida na Terra; Sistemática e Biogeografia; Evolução e Diversidade de Plantas I,BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Evolução e Diversificação da Vida na Terra,3-0-4,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Evolução Molecular,3-0-3,Evolução e Diversificação da Vida na Terra; Genética I; Genética II; Evolução,BCB - Bacharelado em Ciências Biológicas (OL)
Existencialismo,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OL)
Experimentação e Ensino de Química,0-3-4,Práticas de Ensino de Química II,LQ - Licenciatura em Química (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Extensões Algébricas,4-0-4,Álgebra Linear Avançada I; Grupos; Anéis e Corpos,BM - Bacharelado em Matemática (OBR)
Farmacologia,4-2-4,bioquímica: estrutura propriedades e funções de biomoléculas,BCB - Bacharelado em Ciências Biológicas (OL);BBT - Bacharelado em Biotecnologia (OBR)
Federalismo e Políticas Públicas,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Fenomenologia e Filosofia Hermenêutica,4-0-4,História da Filosofia Moderna: perspectivas racionalistas,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Fenômenos de Transporte,4-0-4,Fenômenos Térmicos,EAER - Engenharia Aeroespacial (OL);EAU - Engenharia Ambiental e Urbana (OBR);EBIO - Engenharia Biomédica (OBR);EENE - Engenharia de Energia (OL);EGES - Engenharia de Gestão (OBR);EIAR - Engenharia de Instrumentação Automação e Robótica (OL);EINF - Engenharia de Informação (OBR);EMAT - Engenharia de Materiais (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Fenômenos Eletromagnéticos,4-1-6,Fenômenos Mecânicos; Geometria Analítica,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Fenômenos Mecânicos,4-1-6,Geometria Analítica; Funções de Uma Variável,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Fenômenos Térmicos,3-1-4,Estrutura da Matéria; Fenômenos Mecânicos; Funções de Uma Variável,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Fermentação Industrial,2-2-2,Não há,BQ - Bacharelado em Química (OL)
Filosofia Africana,4-0-4,Não há,LM - Licenciatura em Matemática (OL);LFIL - Licenciatura em Filosofia (OL)
Filosofia Brasileira: História e Problemas,4-0-4 ,Filosofia no Brasil e na América Latina,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Filosofia da Arte,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OBR);BFIL - Bacharelado em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Filosofia da Ciência,4-0-4 ,Não há,LQ - Licenciatura em Química (OL);BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Filosofia da Ciência Pós-kuhniana,4-0-4,Filosofia da Ciência,LFIL - Licenciatura em Filosofia (OL)
Filosofia da Educação, 4-0-4,Não há,LQ - Licenciatura em Química (OL);BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OBR);LCB - Licenciatura em Ciências Biológicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Filosofia da Educação: perspectivas contemporâneas,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OL)
Filosofia da Escola: Modelos Institucionais e Questões Filosóficas,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OL)
Filosofia da História,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OL)
Filosofia da Linguagem,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Filosofia da Matemática,4-0-4,Bases Matemáticas; Funções de Uma Variável; Bases Epistemológicas da Ciência Moderna; Evolução dos Conceitos Matemáticos; Teoria de Conjuntos,BM - Bacharelado em Matemática (OL);LM - Licenciatura em Matemática (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Filosofia da Mente , 4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Filosofia da Natureza Mecanicismo e Cosmologia,4-0-4,História da Filosofia Moderna: perspectivas racionalistas,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Filosofia da Química,2-0-2,Estrutura da Matéria; Transformações Químicas,LQ - Licenciatura em Química (OL)
Filosofia da Tecnologia,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL)
Filosofia do Ensino de Filosofia,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Filosofia e Teatro,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OL)
Filosofia Experimental e Mecanicismo,4-0-4,História da Filosofia Moderna: perspectivas racionalistas,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Filosofia Latino-Americana: História e Problemas,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Filosofia no Brasil e na América Latina,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Filosofia no Ensino Fundamental,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Filosofia Política ,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OBR);BCE - Bacharelado em Ciências Econômicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Filosofia Política Contemporânea,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OL)
Filosofia Ensino e Universidade,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OL);BFIL - Bacharelado em Filosofia (OL)
Filosofia Fotografia e Arte na Era das Redes,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OL)
Filosofia Música e Literatura,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OL)
Filtragem Adaptativa,3-1-4,Sinais Aleatórios; Processamento Digital de Sinais,EINF - Engenharia de Informação (OL)
Finanças Corporativas,4-0-4,Bases Matemáticas; Introdução à Probabilidade e à Estatística; Contabilidade Básica; Engenharia Econômica,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Finanças I,4-0-4,Bases Matemáticas; Introdução à Probabilidade e à Estatística; Contabilidade Básica; Introdução à Inferência Estatística; Engenharia Econômica; Funções de Uma Variável; Funções de Várias Variáveis; Finanças Corporativas,BCE - Bacharelado em Ciências Econômicas (OL)
Finanças II,4-0-4,Bases Matemáticas; Introdução à Probabilidade e à Estatística; Contabilidade Básica; Introdução à Inferência Estatística; Engenharia Econômica; Funções de Uma Variável; Funções de Várias Variáveis; Finanças Corporativas; Finanças I,BCE - Bacharelado em Ciências Econômicas (OL)
Finanças Públicas,4-0-4,Macroeconomia Pós-Keynesiana,BPP - Bacharelado em Políticas Públicas (OBR);BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Finanças Gestão e Administração Financeira,4-0-5,Economia de Empresas,EGES - Engenharia de Gestão (OL)
Física Computacional,3-1-4,Interações Atômicas e Moleculares; Cálculo Numérico; Variáveis Complexas e Aplicações; Análise de Fourier e Aplicações,BFIS - Bacharelado em Física (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Física de Reatores Nucleares,4-0-5,Reações Nucleares,EENE - Engenharia de Energia (OL)
Física de Semicondutores,3-1-4,Fenômenos Eletromagnéticos; Física Quântica; Interações Atômicas e Moleculares; Funções de Várias Variáveis,BFIS - Bacharelado em Física (OL);LFIS - Licenciatura em Física (OL)
Física do Contínuo,3-1-4,Fenômenos Mecânicos; Funções de Uma Variável,BFIS - Bacharelado em Física (OBR);LFIS - Licenciatura em Física (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Física do Meio Ambiente,4-0-4,Fenômenos Mecânicos; Fenômenos Térmicos; Funções de Uma Variável,BFIS - Bacharelado em Física (OL);LFIS - Licenciatura em Física (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
